partition,feature,development_mean,test_mean,standardized_mean_difference,ks_statistic,wasserstein_distance,absolute_smd
test_spatiotemporal_unseen_country,gbd_daly_fraction__std10,0.005339284742,0.005910808824,0.2123443419,0.1073282957,0.0005742153351,0.2123443419
test_spatiotemporal_unseen_country,overall_daly_rate__cv5,0.03598846327,0.02965059106,-0.2008282538,0.1918512145,0.006546172243,0.2008282538
test_spatiotemporal_unseen_country,bmi_daly_rate__current_rel_ui_width,1.411727001,1.357834428,-0.197763111,0.1822098359,0.0566171032,0.197763111
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv5,0.02894046645,0.02536689343,-0.1918106635,0.1729999002,0.00431402775,0.1918106635
test_spatiotemporal_unseen_country,overall_death_rate__cv5,0.03544935173,0.02936680177,-0.1912174708,0.1874557335,0.00649557825,0.1912174708
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth3,0.02013809805,0.01759524343,-0.1905031263,0.169208564,0.00300938582,0.1905031263
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_slope5,0.02022628885,0.01773386713,-0.187140402,0.1731208539,0.003140478514,0.187140402
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv10,0.0593040411,0.05246841715,-0.1825611817,0.2124931418,0.00982838742,0.1825611817
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth5,0.0202839642,0.01787305491,-0.1819635801,0.1829972817,0.003182398489,0.1819635801
test_spatiotemporal_unseen_country,derived__daly_fraction_definition_gap_pp,0.02733580544,0.03823050054,0.177741383,0.1292140506,0.01775764871,0.177741383
test_spatiotemporal_unseen_country,gbd_daly_fraction__cv3,0.01657924752,0.01464622812,-0.1770647609,0.1516416031,0.002189239339,0.1770647609
test_spatiotemporal_unseen_country,derived__death_fraction_definition_gap_pp,0.02721385022,0.03729315852,0.1737685016,0.1129040102,0.01591285131,0.1737685016
test_spatiotemporal_unseen_country,bmi_death_rate__current_rel_ui_width,1.422153408,1.37464298,-0.1722858941,0.1602274428,0.05188726095,0.1722858941
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth3,0.01970536946,0.01745433132,-0.1710995889,0.1654515188,0.002909627317,0.1710995889
test_spatiotemporal_unseen_country,bmi_daly_rate__cv10,0.08424723159,0.07458550598,-0.1708146736,0.1254700983,0.009670770966,0.1708146736
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_slope10,0.02044267923,0.01820735415,-0.1700624671,0.2093689211,0.003511363789,0.1700624671
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth10,0.02040190617,0.01822048818,-0.1694446741,0.2106545214,0.00359541278,0.1694446741
test_spatiotemporal_unseen_country,gbd_daly_fraction__log_growth1,0.01993613269,0.01746792429,-0.1686044854,0.1442216569,0.002767380111,0.1686044854
test_spatiotemporal_unseen_country,gbd_death_fraction__log_slope5,0.01977849229,0.01762450331,-0.1640382316,0.1719562073,0.002945191673,0.1640382316
test_spatiotemporal_unseen_country,gbd_death_fraction__cv5,0.02828752176,0.02530389676,-0.1625921372,0.1683419373,0.003983943645,0.1625921372
test_spatiotemporal_unseen_country,bmi_daly_rate__cv5,0.04549860765,0.04006981341,-0.1606848665,0.1204542621,0.005519328012,0.1606848665
test_spatiotemporal_unseen_country,bmi_daly_rate__delta5,1.163381173,-0.08996189699,-0.1598299152,0.1010748666,1.819346421,0.1598299152
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth5,0.01982192848,0.01778369433,-0.1557723071,0.1807322061,0.002979400443,0.1557723071
test_spatiotemporal_unseen_country,bmi_daly_rate__delta3,0.7129875466,-0.08328541299,-0.153648568,0.05937764976,1.154978526,0.153648568
test_spatiotemporal_unseen_country,bmi_death_rate__delta5,0.04257984789,0.002494237579,-0.1526132725,0.1081612549,0.06411926995,0.1526132725
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth1,0.01954045489,0.01729597792,-0.1513879193,0.1375187042,0.002660022606,0.1513879193
test_spatiotemporal_unseen_country,gbd_death_fraction__cv3,0.01623303789,0.01462206177,-0.1494050175,0.1505760886,0.002030538699,0.1494050175
test_spatiotemporal_unseen_country,bmi_death_rate__delta3,0.02606976,7.379653094e-05,-0.1479028193,0.05223140805,0.0416685774,0.1479028193
test_spatiotemporal_unseen_country,overall_death_rate__std3,0.1202785588,0.1776287845,0.1471594871,0.07609357075,0.0818926801,0.1471594871
test_spatiotemporal_unseen_country,bmi_death_rate__cv10,0.08375630535,0.07550849466,-0.1466897005,0.1167994663,0.008492279658,0.1466897005
test_spatiotemporal_unseen_country,overall_death_rate__delta5,-0.2219356927,-0.5420285945,-0.1462020405,0.1021746721,0.4886271976,0.1462020405
test_spatiotemporal_unseen_country,bmi_death_rate__cv5,0.04519283635,0.0402849118,-0.1451662587,0.1161865928,0.005053651066,0.1451662587
test_spatiotemporal_unseen_country,gbd_death_fraction__cv10,0.0578067375,0.05242856803,-0.144824583,0.1999962592,0.009436787581,0.144824583
test_spatiotemporal_unseen_country,overall_death_rate__lag5,6.231452821,7.860313739,0.1442110888,0.18167552,2.983811437,0.1442110888
test_spatiotemporal_unseen_country,overall_death_rate__lag3,6.1379206,7.639926006,0.142092761,0.1876895356,2.796782224,0.142092761
test_spatiotemporal_unseen_country,overall_death_rate__mean5,6.095865554,7.529221198,0.1409959842,0.1898835353,2.694420962,0.1409959842
test_spatiotemporal_unseen_country,overall_death_rate__mean10,6.211306736,7.73442527,0.1405395755,0.1792184149,2.87595782,0.1405395755
test_spatiotemporal_unseen_country,overall_death_rate__lag1,6.051893079,7.415272201,0.1395466908,0.1871639483,2.585847286,0.1395466908
test_spatiotemporal_unseen_country,overall_death_rate__mean3,6.052242205,7.415295985,0.1395407629,0.1879875555,2.590791348,0.1395407629
test_spatiotemporal_unseen_country,overall_death_rate__current,6.009517129,7.318285145,0.1393728584,0.1834574044,2.488361961,0.1393728584
test_spatiotemporal_unseen_country,overall_death_rate__delta3,-0.1284034714,-0.3216408609,-0.1393473621,0.08360579081,0.2937238032,0.1393473621
test_spatiotemporal_unseen_country,gbd_death_fraction__log_slope10,0.01992328224,0.01819903411,-0.1321601004,0.1960696294,0.00341329631,0.1321601004
test_spatiotemporal_unseen_country,overall_death_rate__std5,0.1978618261,0.280018175,0.1299058158,0.1172072173,0.1464769354,0.1299058158
test_spatiotemporal_unseen_country,bmi_daly_rate__log_growth5,0.01838177524,0.01456650171,-0.1286318075,0.08277594893,0.004976996169,0.1286318075
test_spatiotemporal_unseen_country,gbd_death_fraction__log_growth10,0.01986978779,0.01822520947,-0.12847874,0.2039659085,0.003549712683,0.12847874
test_spatiotemporal_unseen_country,overall_daly_rate__delta5,-7.370580932,-15.21661003,-0.1271939843,0.1075215721,13.63311221,0.1271939843
test_spatiotemporal_unseen_country,overall_death_rate__lag10,6.465981049,7.906710377,0.1266831976,0.1652308095,2.979570665,0.1266831976
test_spatiotemporal_unseen_country,bmi_death_rate__log_growth5,0.01910870348,0.01547361526,-0.1248256431,0.07762107836,0.004565084628,0.1248256431
test_spatiotemporal_unseen_country,bmi_daly_rate__log_slope5,0.01835636385,0.01440593675,-0.1242329608,0.08556536486,0.005146200638,0.1242329608
test_spatiotemporal_unseen_country,overall_daly_rate__delta3,-4.236984026,-8.998654,-0.122830109,0.09062796149,8.192252518,0.122830109
test_spatiotemporal_unseen_country,overall_daly_rate__std3,3.451957969,4.764654968,0.1222257258,0.08180333184,2.222416715,0.1222257258
test_spatiotemporal_unseen_country,bmi_death_rate__log_slope5,0.01908605874,0.01527094477,-0.1218619532,0.07889795002,0.004756481944,0.1218619532
test_spatiotemporal_unseen_country,sdi__delta10,0.05176545571,0.05431332141,0.1191643107,0.08857860741,0.00372594216,0.1191643107
test_spatiotemporal_unseen_country,bmi_daly_rate__log_growth3,0.01834747726,0.01451285533,-0.1145005831,0.07761983141,0.004583224702,0.1145005831
test_spatiotemporal_unseen_country,bmi_death_rate__log_growth3,0.01907794604,0.01531521017,-0.1137862718,0.08560277321,0.00431671442,0.1137862718
test_spatiotemporal_unseen_country,overall_daly_rate__lag5,174.3909095,207.4073911,0.113343955,0.1949754352,81.1484569,0.113343955
test_spatiotemporal_unseen_country,overall_daly_rate__lag3,171.2573126,201.189435,0.1104509664,0.202743279,75.00977072,0.1104509664
test_spatiotemporal_unseen_country,overall_daly_rate__mean5,169.8658896,198.0833851,0.1085662152,0.2057184897,71.94169387,0.1085662152
test_spatiotemporal_unseen_country,overall_daly_rate__mean10,173.7819154,204.0254855,0.1083042962,0.1892949773,78.2347757,0.1083042962
test_spatiotemporal_unseen_country,bmi_daly_rate__delta1,0.2408193216,0.00169198128,-0.1075887975,0.05757332037,0.5504799588,0.1075887975
test_spatiotemporal_unseen_country,overall_daly_rate__lag1,168.4038288,194.8897373,0.1063433016,0.2054915457,68.46152262,0.1063433016
test_spatiotemporal_unseen_country,overall_daly_rate__mean3,168.418176,194.8943797,0.1063058464,0.2072734301,68.70682555,0.1063058464
test_spatiotemporal_unseen_country,overall_daly_rate__std5,5.707581353,7.589003496,0.1061464919,0.1231888124,4.061627526,0.1061464919
test_spatiotemporal_unseen_country,overall_daly_rate__current,167.0203286,192.190781,0.1053741286,0.2052003841,65.75740687,0.1053741286
test_spatiotemporal_unseen_country,bmi_death_rate__delta1,0.008782883162,0.0009211869734,-0.1002601824,0.05837697641,0.02024407686,0.1002601824
test_spatiotemporal_unseen_country,overall_death_rate__delta1,-0.0423759503,-0.09698705654,-0.1002480129,0.05188725123,0.1113642315,0.1002480129
test_spatiotemporal_unseen_country,derived__current_death_rate_gap,5.363575385,6.158809482,0.09908601415,0.1531703576,2.231285554,0.09908601415
test_spatiotemporal_unseen_country,overall_daly_rate__cv3,0.02215949237,0.01993586703,-0.09901538492,0.1176299317,0.00270681494,0.09901538492
test_spatiotemporal_unseen_country,overall_death_rate__std10,0.3668933436,0.4676719313,0.0960663432,0.1647844032,0.2555731287,0.0960663432
test_spatiotemporal_unseen_country,overall_daly_rate__lag10,182.6762417,209.9902257,0.09139099412,0.1648261759,83.80492268,0.09139099412
test_spatiotemporal_unseen_country,overall_death_rate__cv3,0.02188621026,0.01980560684,-0.09113403044,0.1208352038,0.002912767574,0.09113403044
test_spatiotemporal_unseen_country,overall_daly_rate__delta1,-1.383500248,-2.698956235,-0.08908305659,0.05293032071,2.881276589,0.08908305659
test_spatiotemporal_unseen_country,sdi__delta5,0.02579247179,0.02674406568,0.08443982926,0.05918998454,0.001452424007,0.08443982926
test_spatiotemporal_unseen_country,bmi_daly_rate__cv3,0.0276418382,0.02564901741,-0.084332611,0.09758217367,0.002481308299,0.084332611
test_spatiotemporal_unseen_country,bmi_daly_rate__log_slope10,0.0184970558,0.0163065307,-0.08195694017,0.06370953664,0.004211979771,0.08195694017
test_spatiotemporal_unseen_country,sdi__std10,0.01517577853,0.01565319396,0.07810947761,0.06829205945,0.0008336493939,0.07810947761
test_spatiotemporal_unseen_country,bmi_death_rate__cv3,0.02749059215,0.02567185172,-0.07689217576,0.08794765325,0.002501717491,0.07689217576
test_spatiotemporal_unseen_country,overall_daly_rate__std10,10.72961307,12.8191674,0.07040900734,0.176337972,6.928994195,0.07040900734
test_spatiotemporal_unseen_country,bmi_death_rate__log_slope10,0.01923790529,0.01740877254,-0.06987112223,0.06827584917,0.003995228635,0.06987112223
test_spatiotemporal_unseen_country,sdi__delta3,0.0154562117,0.01591238407,0.06581549663,0.056221632,0.00077292743,0.06581549663
test_spatiotemporal_unseen_country,sdi__log_growth10,0.01076473877,0.01139617276,0.06561931166,0.09217292633,0.00175575168,0.06561931166
test_spatiotemporal_unseen_country,bmi_daly_rate__log_growth10,0.01844397197,0.01691018529,-0.06207193066,0.0672801636,0.00348169752,0.06207193066
test_spatiotemporal_unseen_country,overall_death_rate__log_growth5,-0.0006919966385,-0.00232552138,-0.06178158407,0.108693077,0.00567157973,0.06178158407
test_spatiotemporal_unseen_country,bmi_death_rate__log_growth1,0.01889983655,0.01612736777,-0.0601177744,0.08037370941,0.004030231695,0.0601177744
test_spatiotemporal_unseen_country,overall_death_rate__log_slope5,-0.0006698640938,-0.002388304092,-0.05982149411,0.1096800339,0.005502594984,0.05982149411
test_spatiotemporal_unseen_country,derived__current_daly_rate_gap,148.8892427,160.7353205,0.05805891637,0.1672396379,57.31291684,0.05805891637
test_spatiotemporal_unseen_country,bmi_daly_rate__log_growth1,0.01816492993,0.01548772342,-0.05752461169,0.0811966931,0.004429349714,0.05752461169
test_spatiotemporal_unseen_country,overall_daly_rate__log_growth5,-0.001871025197,-0.003333076114,-0.05471690015,0.0980416729,0.005796546415,0.05471690015
test_spatiotemporal_unseen_country,overall_daly_rate__log_slope5,-0.001837669121,-0.003375973636,-0.05318515005,0.1029764577,0.005706977467,0.05318515005
test_spatiotemporal_unseen_country,sdi__cv3,0.008716629039,0.008356184388,-0.0522134654,0.103909796,0.001160711752,0.0522134654
test_spatiotemporal_unseen_country,overall_death_rate__log_growth3,-0.0006059689657,-0.002189718963,-0.051696595,0.1006621278,0.004831461007,0.051696595
test_spatiotemporal_unseen_country,sdi__log_slope10,0.01073086658,0.01121046756,0.05153627604,0.08646628261,0.001647950158,0.05153627604
test_spatiotemporal_unseen_country,sdi__log_growth1,0.01048427224,0.0100529509,-0.05105910364,0.1009707467,0.001459250601,0.05105910364
test_spatiotemporal_unseen_country,sdi__std5,0.007404493473,0.007562211173,0.05027414822,0.05110292284,0.0003028362562,0.05027414822
test_spatiotemporal_unseen_country,bmi_death_rate__log_growth10,0.01919440834,0.01801313259,-0.0487577659,0.06055850666,0.003303675955,0.0487577659
test_spatiotemporal_unseen_country,overall_daly_rate__log_growth3,-0.001759212356,-0.003150596265,-0.0452922123,0.1075003741,0.004843079588,0.0452922123
test_spatiotemporal_unseen_country,overall_death_rate__delta10,-0.4564639207,-0.5884252317,-0.04526465416,0.1329735897,0.6091896198,0.04526465416
test_spatiotemporal_unseen_country,sdi__delta1,0.00515322503,0.005232276154,0.03321634712,0.03910232431,0.0001903510768,0.03321634712
test_spatiotemporal_unseen_country,overall_daly_rate__log_growth10,-0.001924302455,-0.001279479422,0.02971562995,0.1235635194,0.005790237646,0.02971562995
test_spatiotemporal_unseen_country,sdi__std3,0.004260455328,0.004314046411,0.02890484874,0.04752356726,0.0001410687757,0.02890484874
test_spatiotemporal_unseen_country,overall_death_rate__current_rel_ui_width,0.5357427605,0.5453974023,0.02870081563,0.09778916654,0.0415014788,0.02870081563
test_spatiotemporal_unseen_country,sdi__cv5,0.01523469354,0.0149057645,-0.02697927572,0.1011970672,0.002040586136,0.02697927572
test_spatiotemporal_unseen_country,overall_daly_rate__delta10,-15.65591312,-17.79944468,-0.02570187551,0.1220222954,17.29913512,0.02570187551
test_spatiotemporal_unseen_country,sdi__cv10,0.03159475376,0.03220978841,0.02359543057,0.0940639184,0.004335288501,0.02359543057
