outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent,task,task_order
daly,5,logtrend10,0.1344720107,1.765702909,2.858638617,0.08778629879,0.976466308,0.9833996055,0.9741713029,0.1037559986,1.765702909,1.957805353,0.1025185361,1.800518913,-37.87995683,0.4741454864,2,7,0.1136407587,0.08601407114,-0.1833079273,DALY 5 y,2
daly,5,persistence,0.1471270032,2.072040377,3.032787844,0.1030740538,1.302715541,0.9813233295,0.9823162792,0.1259758353,2.072040377,2.22405545,0.1239673303,2.081429581,-23.96584311,0.5330411919,0,8,0.1136407587,0,-0.2946675544,DALY 5 y,2
daly,5,logtrend5,0.1528185465,1.928930082,3.141038624,0.09582845927,1.068514939,0.9799692543,0.9694889257,0.1154480166,1.928930082,2.198106731,0.1094108471,1.904826507,-40.96434507,0.3181419807,1,9,0.1136407587,-0.03868455962,-0.3447511986,DALY 5 y,2
daly,5,ridge,0.2733113853,6.597056314,24.7123888,0.3289730425,2.565786631,-0.4224994175,0.9252081574,0.226883377,6.597056314,7.128755314,0.2466286702,6.251989584,-522.9837615,0.4545135846,4,10,0.1136407587,-0.8576561704,-1.405047171,DALY 5 y,2
daly,5,elastic_net,0.2741074503,6.291098646,20.28446453,0.3134406527,2.545401666,0.06678039399,0.9228005517,0.2293620048,6.291098646,6.629672828,0.2459424662,5.967428687,-372.6892538,0.5046450482,5,11,0.1136407587,-0.8630669043,-1.412052273,DALY 5 y,2
death,1,gru,0.01393987748,0.01555711092,0.03157657982,0.02164342967,0.008189311268,0.9981750279,0.9978688234,0.009848436496,0.01555711092,0.01872236782,0.02368052662,0.01356617655,-0.1110552074,0.7637160386,10,1,0.01411805949,0.09594180452,0.01262085668,Death 1 y,3
death,1,pooled_ridge,0.01411805949,0.01621242257,0.03050241225,0.02258805768,0.008742955306,0.9983043244,0.997864667,0.01034564343,0.01621242257,0.01918154475,0.02782011787,0.01420915134,-0.2814381419,0.7493426819,3,2,0.01411805949,0.08438597109,0,Death 1 y,3
death,1,logtrend5,0.01472538696,0.01653187011,0.03329017424,0.0230139982,0.008294852568,0.9980072098,0.9976974887,0.01045734121,0.01653187011,0.01976102662,0.02546206969,0.01455657413,-0.2897910428,0.7314636284,1,3,0.01411805949,0.04499829484,-0.04301777278,Death 1 y,3
death,1,logtrend10,0.01472679755,0.01693350492,0.03218968557,0.0235771482,0.009432467469,0.9981324794,0.9976509605,0.01068732684,0.01693350492,0.02009557201,0.02600900074,0.01518542601,-0.4679268762,0.7486415425,2,4,0.01411805949,0.04490681252,-0.04311768641,Death 1 y,3
death,1,extra_trees,0.0153383988,0.0185238496,0.03815746488,0.02580614444,0.008528869005,0.9973713866,0.9978043997,0.01096091271,0.0185238496,0.02196036238,0.0259780923,0.01661521011,-0.5057651081,0.7160385627,7,5,0.01411805949,0.005241964372,-0.08643817615,Death 1 y,3
