location_id,location_name,year,bmi_daly_rate,bmi_daly_rate_lower,bmi_daly_rate_upper,bmi_death_rate,bmi_death_rate_lower,bmi_death_rate_upper,gbd_daly_fraction,gbd_daly_fraction_lower,gbd_daly_fraction_upper,gbd_death_fraction,gbd_death_fraction_lower,gbd_death_fraction_upper,overall_daly_rate,overall_daly_rate_lower,overall_daly_rate_upper,overall_death_rate,overall_death_rate_lower,overall_death_rate_upper,sdi,sdi_lower,sdi_upper,asr_ratio_daly,asr_ratio_death,daly_fraction_definition_gap_pp,death_fraction_definition_gap_pp,bmi_daly_rate_rel_ui_width,bmi_death_rate_rel_ui_width,gbd_daly_fraction_rel_ui_width,gbd_death_fraction_rel_ui_width,overall_daly_rate_rel_ui_width,overall_death_rate_rel_ui_width,sdi_rel_ui_width,sdi_quintile_2023
28,Solomon Islands,2023,51.07537018,17.96642661,103.5015641,1.582712034,0.5635994217,3.21266419,0.1771587851,0.07809842582,0.2870421601,0.1603095755,0.06983807994,0.2629935144,288.1566673,168.3939552,502.8078386,9.865376859,5.766015645,17.32595797,0.45802266,0.45802266,0.45802266,0.177248615,0.1604309756,-0.008982993948,-0.01214001184,1.674684632,1.673750317,1.179415033,1.204890187,1.160528009,1.171768954,0,Q1
29,Tonga,2023,211.7540027,89.90212525,368.3503753,6.96903205,2.939246813,12.1400599,0.3168443575,0.1572159506,0.4617346071,0.2922942254,0.1425463411,0.4339512805,668.9698929,438.0948961,972.7685365,23.86992617,15.58866637,34.79564109,0.63599479,0.63599479,0.63599479,0.3165374182,0.2919586764,0.03069393182,0.03355489914,1.314960976,1.320242614,0.9610985624,0.9969575656,0.799249183,0.8046516185,0,Q2
30,Vanuatu,2023,32.91524973,11.71056954,66.61933721,0.9560491757,0.3457204188,1.891842671,0.1785865225,0.07988393978,0.288020075,0.1650958044,0.0729026701,0.268855066,184.4894135,105.6811387,289.2222308,5.795410124,3.34865826,9.023042497,0.47654316,0.47654316,0.47654316,0.1784126748,0.1649666124,0.01738476973,0.01291919643,1.66818627,1.617199504,1.165463845,1.186901125,0.9948597518,0.9791169419,0,Q1
33,Armenia,2023,16.77989614,7.222941205,28.72155221,0.6677454099,0.2847847373,1.175961523,0.1766591538,0.08045725384,0.2960864899,0.171121762,0.07630964197,0.2949442112,94.94669625,83.60602014,106.8229943,3.900790951,3.448714582,4.392235726,0.717334917,0.717334917,0.717334917,0.1767296473,0.1711820547,-0.007049352064,-0.006029268998,1.2812124,1.334605634,1.220594752,1.277654967,0.2445264039,0.2418794434,0,Q3
34,Azerbaijan,2023,30.56479003,13.39454572,54.4115237,1.206894229,0.5211827112,2.168827055,0.1730882507,0.08186046361,0.2837825927,0.1760479981,0.08118209131,0.2913315697,176.0216489,136.960744,236.4966209,6.828195393,5.327429554,9.342812523,0.705297926,0.705297926,0.705297926,0.1736422209,0.176751566,-0.05539701568,-0.07035679239,1.341968256,1.365193655,1.166584839,1.193705584,0.5654751988,0.5880591778,0,Q3
35,Georgia,2023,21.88354449,9.339710134,37.48070135,0.7409660853,0.3145344957,1.251077778,0.2065395358,0.09813494262,0.3273919173,0.1947951452,0.0927524939,0.3119068391,105.6893724,88.84027068,124.2289466,3.794635155,3.20019346,4.378555623,0.754633377,0.754633377,0.754633377,0.207055298,0.1952667529,-0.05157622908,-0.04716077331,1.285943016,1.263948919,1.109990752,1.125050344,0.3348366555,0.3105337177,0,Q4
36,Kazakhstan,2023,15.69523225,6.550074796,26.52805376,0.5954656448,0.2457828356,1.017587012,0.1771219756,0.07702849336,0.2959992648,0.1751810015,0.07522300934,0.2957348619,88.44604284,81.49681404,95.56023526,3.394069749,3.113602215,3.678890971,0.727191018,0.727191018,0.727191018,0.177455449,0.1754429605,-0.03334734165,-0.02619589428,1.272869279,1.296135526,1.236271054,1.258765795,0.1590056578,0.1665518972,0,Q3
37,Kyrgyzstan,2023,13.49598084,5.796436218,22.40828334,0.5362051868,0.2258482364,0.9077461526,0.1709874881,0.08106491357,0.2785973578,0.164417014,0.07622674438,0.2705418208,78.75145127,67.17470174,90.93019675,3.253727785,2.751788148,3.736648544,0.625153433,0.625153433,0.625153433,0.1713743762,0.1647971872,-0.03868881267,-0.03801731795,1.230873644,1.27171078,1.155245021,1.181842874,0.3016515205,0.3026867831,0,Q2
38,Mongolia,2023,292.3182477,126.8053062,484.1828716,11.47032601,4.963171331,19.23346789,0.169618776,0.07754453037,0.2714787473,0.1625186266,0.07122038191,0.2646273137,1720.818253,1402.363157,2097.070471,70.45927216,57.90814071,85.47093993,0.659697833,0.659697833,0.659697833,0.1698716568,0.1627937056,-0.02528808302,-0.02750790284,1.222563313,1.244105577,1.143353475,1.190060093,0.4037075463,0.3911876802,0,Q3
39,Tajikistan,2023,26.65183859,10.68918684,46.71541958,1.086588782,0.4282424478,1.921290877,0.1796769204,0.07946437779,0.2941074136,0.175138111,0.07514317225,0.2950333112,148.6188913,102.2850953,212.3776002,6.215727588,4.258129456,8.92516726,0.551182019,0.551182019,0.551182019,0.1793300862,0.1748128062,0.03468341573,0.03253047765,1.351735364,1.374069431,1.194605491,1.255524213,0.7407705975,0.7508433627,0,Q2
