partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,subgroup_dimension,subgroup_value,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95
test_temporal_seen_country,daly,1,extra_trees,False,False,target_year,2021,163,0.0661362193112,1.33373108352,3.98128039735,0.0592514851434,0.51242327761,0.975125177343,0.994701869309,0.674846625767,2.27536381272,1.6737760733,0.803680981595,3.11345845725,2.2902852906
test_temporal_seen_country,daly,1,extra_trees,False,False,target_year,2022,163,0.0824060659149,1.89159759609,4.3920833902,0.0808626496287,0.6968894285,0.971457186302,0.991382224661,0.515337423313,2.35156916606,1.7382386172,0.650306748466,3.21773285969,2.3784916035
test_temporal_seen_country,daly,1,extra_trees,False,False,target_year,2023,163,0.0736717870697,1.98367852493,5.28200412461,0.0798635478869,0.63182212366,0.963514207285,0.995494372122,0.552147239264,2.4339308289,1.7130076063,0.693251533742,3.33043115182,2.3439671447
test_temporal_seen_country,daly,1,gru,True,False,target_year,2019,163,0.0396568021595,0.596847780695,1.31318348676,0.0281751929027,0.28129261201,0.996536728366,0.9982099412,0.889570552147,2.07927163532,1.5285102767,0.938650306748,2.68137524447,1.971127556
test_temporal_seen_country,daly,1,gru,True,False,target_year,2020,163,0.0470726758661,0.767224418665,1.36984713108,0.0356198364941,0.3735420644,0.996461731202,0.99666095843,0.760736196319,2.12984550402,1.5677797583,0.858895705521,2.74659400534,2.0217684698
test_temporal_seen_country,daly,1,gru,True,False,target_year,2021,163,0.0694501849474,1.22999121661,2.85870841596,0.0546428040842,0.5035069948,0.987175094241,0.993842862764,0.631901840491,2.16049677605,1.5591978901,0.717791411043,2.78612109776,2.0107015133
test_temporal_seen_country,daly,1,gru,True,False,target_year,2022,163,0.086300492301,1.81191123572,3.33036481403,0.0774561903204,0.79989314849,0.98358884122,0.990409607573,0.423312883436,2.26130782571,1.617801076,0.546012269939,2.91612443561,2.0862746752
test_temporal_seen_country,daly,1,gru,True,False,target_year,2023,163,0.0593669532322,1.27012109788,2.11331674633,0.0511354918894,0.64829305111,0.994159426368,0.996065195826,0.552147239264,2.3537294332,1.640828049,0.723926380368,3.03530896455,2.1159696675
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,target_year,2019,163,0.0430995341976,0.799009510795,2.28969655159,0.0377185738574,0.3337122762,0.989470891761,0.998168376367,0.938650306748,2.50371130708,1.7963350597,0.957055214724,3.2034785019,2.2983962767
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,target_year,2020,163,0.04993778549,1.06504504919,2.93532640712,0.0494467193537,0.4086015045,0.983753514888,0.996411569433,0.822085889571,2.56785520238,1.9113413521,0.889570552147,3.28555010059,2.4455459037
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,target_year,2021,163,0.0708621391104,1.37572657976,4.3327513959,0.0611171502332,0.4814304282,0.970539371765,0.994250198126,0.723926380368,2.58907302977,1.9193478287,0.803680981595,3.31269814029,2.4557901264
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,target_year,2022,163,0.0853242010044,1.81111351496,3.82285731235,0.0774220890852,0.7299918359,0.978376210499,0.990581408882,0.527607361963,2.70031569749,1.9697895307,0.625766871166,3.45503223986,2.5203298787
test_temporal_seen_country,daly,1,hist_gradient_boosting,False,False,target_year,2023,163,0.0669340174186,1.71223246328,4.32372333467,0.0689350404344,0.6745618725,0.975552069193,0.995763158041,0.61963190184,2.78912306962,2.0179430568,0.736196319018,3.56866055899,2.5819419285
test_temporal_seen_country,daly,1,logtrend10,False,False,target_year,2019,163,0.0416936791446,0.609719141925,1.17734055729,0.0287828069331,0.3529535418,0.99721618776,0.997392499487,0.865030674847,2.27365464295,1.6262863606,0.944785276074,3.05762782969,2.1870421044
test_temporal_seen_country,daly,1,logtrend10,False,False,target_year,2020,163,0.0492873037465,0.790546184797,1.38225374313,0.0367025933461,0.41046520113,0.996397349247,0.996658187441,0.779141104294,2.32464944203,1.6365171668,0.871165644172,3.12620601825,2.2008005694
test_temporal_seen_country,daly,1,logtrend10,False,False,target_year,2021,163,0.0694868822024,1.21585356391,2.91049963758,0.0540147337565,0.5073374421,0.98670618713,0.993640580578,0.674846625767,2.3616603713,1.6951459783,0.78527607362,3.17597859372,2.2796450353
test_temporal_seen_country,daly,1,logtrend10,False,False,target_year,2022,163,0.0814751765322,1.73764131026,3.41156177477,0.0742812745916,0.74546217391,0.98277885166,0.991537400037,0.496932515337,2.46728233027,1.7386753751,0.61963190184,3.31801979696,2.3381836947
test_temporal_seen_country,daly,1,logtrend10,False,False,target_year,2023,163,0.061686581685,1.25367552047,2.03766317458,0.05047338755,0.65982300464,0.994570109045,0.995674486397,0.613496932515,2.5668649137,1.7773110624,0.736196319018,3.4519392026,2.390141257
test_temporal_seen_country,daly,1,logtrend5,False,False,target_year,2019,163,0.0442810178111,0.581912670166,1.28220883628,0.0274701561517,0.26404319341,0.996698181009,0.997206843234,0.914110429448,2.44627719661,1.7392658312,0.950920245399,3.18308624688,2.2631258446
test_temporal_seen_country,daly,1,logtrend5,False,False,target_year,2020,163,0.0468782075179,0.818849904054,1.41864457046,0.0380166467412,0.3925701637,0.996205156991,0.996724691173,0.80981595092,2.50566480043,1.8010192311,0.901840490798,3.26036116292,2.3434791252
test_temporal_seen_country,daly,1,logtrend5,False,False,target_year,2021,163,0.0742999706533,1.24596490944,3.05687487753,0.0553524411582,0.52966106882,0.985335414649,0.993263726093,0.680981595092,2.5514015615,1.8944761755,0.791411042945,3.31987365617,2.465084933
test_temporal_seen_country,daly,1,logtrend5,False,False,target_year,2022,163,0.087350472764,1.86953767339,3.64678209929,0.0799196246408,0.7311032769,0.98032225823,0.989703005415,0.503067484663,2.67843513353,1.9263495478,0.613496932515,3.48516923941,2.5065584394
test_temporal_seen_country,daly,1,logtrend5,False,False,target_year,2023,163,0.0574360429439,1.01469672239,1.5497404274,0.0408520227753,0.598445086,0.996859171382,0.995932188361,0.687116564417,2.80029240575,1.9140695627,0.79754601227,3.64372944174,2.4905797712
test_temporal_seen_country,daly,1,persistence,False,False,target_year,2019,163,0.0467184796134,0.695629186303,1.35769184138,0.0328383335698,0.3992916299,0.996297985234,0.997766582983,0.871165644172,2.36630212292,1.7237392592,0.944785276074,3.02064597816,2.2003978319
test_temporal_seen_country,daly,1,persistence,False,False,target_year,2020,163,0.0485194457742,0.835496144561,1.51704327695,0.038789479762,0.43436499923,0.99566047141,0.996710836229,0.822085889571,2.41925118208,1.7630688784,0.889570552147,3.08823682423,2.2506031099
test_temporal_seen_country,daly,1,persistence,False,False,target_year,2021,163,0.0725483383953,1.32150583147,3.03209900135,0.0587083739053,0.5827732639,0.985572163345,0.99448296119,0.644171779141,2.45805310756,1.7819345561,0.723926380368,3.13776848758,2.2746856362
test_temporal_seen_country,daly,1,persistence,False,False,target_year,2022,163,0.0853714757657,1.78669161422,3.35608072193,0.0763780934662,0.74643631168,0.98333442031,0.991847750788,0.509202453988,2.56388369644,1.8229494628,0.625766871166,3.27286397672,2.3270422275
test_temporal_seen_country,daly,1,persistence,False,False,target_year,2023,163,0.0739599814048,1.58336139155,2.57869325034,0.063746648828,0.7857630306,0.991303876848,0.995660631453,0.460122699387,2.66018702253,1.8455829387,0.644171779141,3.39579766798,2.355934446
test_temporal_seen_country,daly,1,pooled_ridge,False,True,target_year,2019,163,0.0406714749941,0.584684332189,1.26138123676,0.0276009970707,0.3207011833,0.996804576218,0.997938384292,0.871165644172,2.08061402706,1.5301185132,0.950920245399,2.78765501552,2.0500883355
test_temporal_seen_country,daly,1,pooled_ridge,False,True,target_year,2020,163,0.0478946545648,0.829770112975,1.52611849921,0.0385236379771,0.4008672624,0.995608396453,0.997015645003,0.754601226994,2.12888980494,1.5565632331,0.865030674847,2.85233602441,2.0855195857
