partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,n,mean_log1p_bias_prediction_minus_observed,median_log1p_bias_prediction_minus_observed,calibration_intercept_observed_on_predicted,calibration_slope_observed_on_predicted
test_temporal_seen_country,death,1,xgboost,False,False,815,-0.00696627180552,-0.00315331557646,-0.00615565671617,1.0251554751
test_temporal_seen_country,death,3,elastic_net,False,False,815,-0.0207019910775,-0.0124249370915,-0.0178338200936,1.0758732225
test_temporal_seen_country,death,3,extra_trees,True,False,815,-0.013836804417,-0.005618672085,-0.0134186910859,1.05294770267
test_temporal_seen_country,death,3,gru,False,False,815,-0.0104495926413,-0.00391776122236,-0.00747230313167,1.03458825306
test_temporal_seen_country,death,3,hist_gradient_boosting,False,False,815,-0.0104698300753,-0.00509616179132,-0.00694056663265,1.03360240098
test_temporal_seen_country,death,3,logtrend10,False,False,815,-0.00876542582893,-0.00482672045525,-0.00447918052761,1.02547853289
test_temporal_seen_country,death,3,logtrend5,False,False,815,-0.0101698662119,-0.00553381157633,-0.00318320231248,1.02575676792
test_temporal_seen_country,death,3,persistence,False,False,815,-0.0294883300544,-0.0212637888508,0.00820882361873,1.04263481379
test_temporal_seen_country,death,3,pooled_ridge,False,True,815,-0.0100642116076,-0.00163564656759,-0.0143033369615,1.04699304949
test_temporal_seen_country,death,3,random_forest,False,False,815,-0.0137213032165,-0.0062914405075,-0.00931154647213,1.04473457111
test_temporal_seen_country,death,3,ridge,False,False,815,-0.0159348025745,-0.00747111868049,-0.01466159451,1.05968112244
test_temporal_seen_country,death,3,xgboost,False,False,815,-0.0117417843348,-0.00603351373149,-0.0087945678057,1.0397330958
test_temporal_seen_country,death,5,elastic_net,False,False,815,-0.0214712424248,-0.0102074802219,-0.0175991594213,1.07704246596
test_temporal_seen_country,death,5,extra_trees,True,False,815,-0.0150713216475,-0.00897612831941,-0.0128822980117,1.05443445496
test_temporal_seen_country,death,5,gru,False,False,815,-0.0116706302031,-0.00543216191133,-0.0050714596646,1.03238761639
test_temporal_seen_country,death,5,hist_gradient_boosting,False,False,815,-0.0138134139052,-0.00909620620576,-0.00580312464907,1.03810620347
test_temporal_seen_country,death,5,logtrend10,False,False,815,-0.00552698674646,-0.00198844250635,-0.00103567086821,1.01254636599
test_temporal_seen_country,death,5,logtrend5,False,False,815,-0.00920199032453,-0.00547988031131,0.00414257239798,1.00974093841
test_temporal_seen_country,death,5,persistence,False,False,815,-0.041753939731,-0.0336351963617,0.0205671184069,1.04351857862
test_temporal_seen_country,death,5,pooled_ridge,False,True,815,-0.00822443524306,0.000466105800398,-0.0193246132312,1.05294076713
test_temporal_seen_country,death,5,random_forest,False,False,815,-0.0148742753477,-0.0101492310923,-0.00845472375165,1.04541144503
test_temporal_seen_country,death,5,ridge,False,False,815,-0.0194161652524,-0.00695500704681,-0.0224545635307,1.08223116558
test_temporal_seen_country,death,5,xgboost,False,False,815,-0.01276634044,-0.00872635341574,-0.00666383796871,1.03766757289
