outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent
death,3,ridge,0.069364373344,0.107859835731,0.226768365454,0.150197577589,0.065648512735,0.907583722957,0.97090855562,0.0563360871763,0.107859835731,0.113972390799,0.174223902687,0.107150865335,-117.37427047,0.499035933392,4,10,0.0307895833387,-0.937905808569,-1.25285196558
death,3,elastic_net,0.0695542227305,0.107142802459,0.212269123577,0.149166862616,0.0683917254057,0.920107227238,0.971246029444,0.0560845647084,0.107142802459,0.112482411236,0.165428984433,0.10644399184,-115.459918354,0.546362839614,5,11,0.0307895833387,-0.943209831528,-1.25901799207
death,5,extra_trees,0.032080694863,0.0389997351591,0.0624694723647,0.054304149659,0.0225787914703,0.993090246725,0.9906278566,0.0241422083449,0.0389997351591,0.0438719526114,0.0632860547672,0.0370759739419,-7.97192845117,0.607011393514,7,1,0.0456389972986,0.413337861514,0.297077132236
death,5,gru,0.0337622920814,0.0422434300125,0.0699903994366,0.0587797477205,0.024913116964,0.991368807564,0.990559622925,0.0266678806668,0.0422434300125,0.0493265570208,0.069389532199,0.0401892505551,-10.5087715146,0.494829097283,10,2,0.0456389972986,0.38258636363,0.260231510774
death,5,xgboost,0.0357802249688,0.0452030095053,0.0717391935536,0.0629318399335,0.0271721198413,0.990943817833,0.988766266472,0.0278002182123,0.0452030095053,0.0513281805181,0.0723143481757,0.0425482405951,-10.1715252065,0.519719544259,9,3,0.0456389972986,0.345684269454,0.216016409504
death,5,random_forest,0.0358812748626,0.0454124610562,0.0732267699556,0.0632321879922,0.02652863297,0.9904419438,0.988290708935,0.0276372595568,0.0454124610562,0.051112057172,0.0722588062713,0.0431603240873,-10.493947353,0.549517966696,6,4,0.0456389972986,0.343836362262,0.21380229658
death,5,hist_gradient_boosting,0.0361031631593,0.0471206557568,0.0827630287773,0.0655464531517,0.0249775353117,0.987740820631,0.988699880072,0.0283438783846,0.0471206557568,0.0545961954112,0.0708644066638,0.0434708200557,-11.0643485817,0.514811568799,8,5,0.0456389972986,0.339778673884,0.208940483001
death,5,pooled_ridge,0.0456389972986,0.05660881159,0.0896039210753,0.0787667512872,0.0321480192066,0.985875771545,0.983161060624,0.0344446678374,0.05660881159,0.0625211599826,0.10544003199,0.0572105551328,-23.2819027825,0.509903593339,3,6,0.0456389972986,0.16539614033,0
death,5,logtrend10,0.0503728563502,0.0628716186218,0.0999770666185,0.087463223998,0.0352785627283,0.982406869682,0.976464924168,0.0379001756732,0.0628716186218,0.0697885609826,0.10043626751,0.0643091366322,-23.9700410391,0.49342681858,2,7,0.0456389972986,0.078827695152,-0.103723993335
death,5,persistence,0.0546834246808,0.0733741082245,0.104691143503,0.102151358163,0.0492874211017,0.980693802644,0.982142058238,0.0442843937799,0.0733741082245,0.0787061342332,0.123367750093,0.0737760185311,-17.8695623596,0.546012269939,0,8,0.0456389972986,0,-0.19817322723
death,5,logtrend5,0.0569253568558,0.0691540391051,0.110969112282,0.096113215136,0.0394509810132,0.978269905024,0.971523235962,0.0427784317196,0.0691540391051,0.0787252232234,0.108306099477,0.0675428779966,-27.4998604245,0.316739702016,1,9,0.0456389972986,-0.040998386405,-0.24729639618
death,5,elastic_net,0.0771407984547,0.120952707062,0.257372615849,0.168518182672,0.0768101162967,0.875526340452,0.96400194541,0.0616142304441,0.120952707062,0.127747918157,0.180281432438,0.119195748782,-126.555472647,0.522524101665,5,10,0.0456389972986,-0.41067972434,-0.690238677901
death,5,ridge,0.0776558482267,0.119860257087,0.234211969334,0.166850865924,0.0778987918895,0.901919918124,0.961492193104,0.0628394652185,0.119860257087,0.125031827929,0.190416811539,0.121194886962,-125.033518607,0.562839614373,4,11,0.0456389972986,-0.420098479202,-0.70152397781
