outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
death,1,pooled_ridge,cv2,326,0.0143327273868,0.0157509887174,0.0276941283317,0.0219014631947,0.008480841044,0.998674630135,0.997370059445
death,1,pooled_ridge,cv3,326,0.0126521973434,0.015109129645,0.0257115511263,0.0205069702741,0.008960469642,0.998841530578,0.998278918133
death,1,random_forest,cv1,326,0.0164829021427,0.0195230073093,0.040062185823,0.0278458755669,0.008624138198,0.997122009903,0.997877828818
death,1,random_forest,cv2,326,0.0164292886103,0.0208122385114,0.0465672118214,0.0289390389349,0.010276079699,0.996252668079,0.997203458443
death,1,random_forest,cv3,326,0.0153635006448,0.017989892761,0.0376417449787,0.0244169058546,0.00798236685,0.997517052619,0.997879907001
death,1,ridge,cv1,326,0.0646350005553,0.10064544907,0.208837876938,0.143551687851,0.0548593075815,0.921794273992,0.978150676925
death,1,ridge,cv2,326,0.0629465931574,0.0973359441244,0.208472188524,0.135343859107,0.0574357327035,0.924896886359,0.975745180131
death,1,ridge,cv3,326,0.0617182817685,0.0940784794743,0.193296076345,0.127688664228,0.05739411859,0.934525212598,0.97713894818
death,1,xgboost,cv1,326,0.01536979869,0.0190108999624,0.0436700223332,0.0271154513432,0.007881657666,0.996580309191,0.998093613484
death,1,xgboost,cv2,326,0.0212827401068,0.0260517702742,0.0873634806509,0.0362245125087,0.009936902114,0.986810706031,0.997818860188
death,1,xgboost,cv3,326,0.0193955042309,0.0236982164012,0.0766796133845,0.032164567431,0.0089913643165,0.989696427082,0.997514146367
death,3,elastic_net,cv1,326,0.0718175426848,0.11206567861,0.234774241448,0.159840484227,0.0717366328375,0.901162692687,0.973524641622
death,3,elastic_net,cv2,326,0.0691510058612,0.105375677864,0.194633955572,0.146522962576,0.0720750212495,0.934536547024,0.970280597997
death,3,elastic_net,cv3,326,0.0676941196454,0.103987050904,0.207399173712,0.141137141046,0.06136352213,0.924622442003,0.969932848713
death,3,extra_trees,cv1,326,0.0288445871034,0.0349893095605,0.0616417996722,0.0499056290231,0.018015809397,0.993186494159,0.993190833481
death,3,extra_trees,cv2,326,0.0272520382825,0.0296481830731,0.0506594940295,0.0412252590625,0.015031673555,0.99556510454,0.99254936767
death,3,extra_trees,cv3,326,0.0232166506492,0.029923006446,0.0466966746258,0.0406132065923,0.020889852175,0.996178798592,0.995501426586
death,3,gru,cv1,326,0.0316568942293,0.0393553281448,0.0695602852299,0.0561329283472,0.021158159875,0.991323536955,0.992008693732
death,3,gru,cv2,326,0.0294169868037,0.0354066683029,0.0583257340249,0.0492323279888,0.021951431584,0.994121288909,0.991678609003
death,3,gru,cv3,326,0.0255865151899,0.0337385408453,0.0532152912722,0.0457918669351,0.022277323818,0.995037495574,0.994383364145
death,3,hist_gradient_boosting,cv1,326,0.0313138373828,0.0398349521179,0.0688704434703,0.0568170211851,0.0199370434715,0.991494775685,0.993041897035
