outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
death,3,hist_gradient_boosting,cv2,326,0.0284884195887,0.0329594644823,0.0625717414595,0.0458295356074,0.018645923794,0.993234215269,0.992848972382
death,3,hist_gradient_boosting,cv3,326,0.0253413477319,0.0363079479862,0.0659887874223,0.0492792124739,0.02105491099,0.992369230837,0.994490390569
death,3,logtrend10,cv1,326,0.0344463831019,0.0411150823725,0.0693821739337,0.0586428847528,0.020994952369,0.991367912782,0.987971130575
death,3,logtrend10,cv2,326,0.0349088042575,0.0412473070397,0.0684351264732,0.0573536298718,0.022169695596,0.991906808073,0.988573803638
death,3,logtrend10,cv3,326,0.0302106512883,0.0392242875666,0.0619183963333,0.0532374344555,0.0226147645835,0.993281575835,0.991835511818
death,3,logtrend5,cv1,326,0.0358188397421,0.0449364668835,0.076277433576,0.064093366633,0.025838567398,0.989566929121,0.988788202848
death,3,logtrend5,cv2,326,0.035956990601,0.0437622807165,0.0743560423511,0.060850655005,0.023344667132,0.990445802305,0.989257525837
death,3,logtrend5,cv3,326,0.0330937639017,0.0416025933043,0.0698252749853,0.0564654062984,0.0220368155365,0.991456155621,0.991280983327
death,3,persistence,cv1,326,0.0383574301807,0.0504990518363,0.078230504689,0.0720273414542,0.029824196255,0.989025815,0.990632590239
death,3,persistence,cv2,326,0.0366760872147,0.0475934661283,0.0714550789735,0.0661778486049,0.030713648735,0.991176763947,0.990089145391
death,3,persistence,cv3,326,0.0323468924841,0.0427987665261,0.0594246190162,0.0580889206423,0.02947014642,0.993811850005,0.992057877396
death,3,pooled_ridge,cv1,326,0.0331775829259,0.0411893655499,0.0696426700009,0.0587488356486,0.023034839612,0.991302972585,0.991369998831
death,3,pooled_ridge,cv2,326,0.0327689206098,0.0374915330856,0.0639958768899,0.0521312945315,0.0202320471555,0.992922731379,0.990886128562
death,3,pooled_ridge,cv3,326,0.0264222464804,0.034391857244,0.0522534462771,0.0466785851169,0.021248724516,0.995215264913,0.993007260652
death,3,random_forest,cv1,326,0.0311301279657,0.0400566903925,0.0678115657901,0.057133288874,0.0211926253785,0.991754299467,0.992644964086
death,3,random_forest,cv2,326,0.0283058630383,0.0329551032938,0.0555379228451,0.0458234714542,0.016407326093,0.994669831273,0.992702114118
death,3,random_forest,cv3,326,0.0247423144448,0.0331595473267,0.0531633319926,0.0450060239942,0.021123286059,0.995047181598,0.994627204281
death,3,ridge,cv1,326,0.0720239117944,0.114274316902,0.26847890984,0.162990688808,0.066839390924,0.870747079613,0.973938546398
death,3,ridge,cv2,326,0.0689303957206,0.105978684171,0.196219082342,0.147361431872,0.0674005634175,0.933465917578,0.968996627282
death,3,ridge,cv3,326,0.067138812517,0.103326506119,0.215607104181,0.140240612087,0.0627055838635,0.918538171679,0.969790493179
death,3,xgboost,cv1,326,0.0312998662817,0.0386587997913,0.067686095661,0.0551394624558,0.0215787670605,0.991784784885,0.993045360673
death,3,xgboost,cv2,326,0.0269635848285,0.0323759624085,0.0578690681765,0.0450181865917,0.017502960814,0.994212984177,0.993231704413
death,3,xgboost,cv3,326,0.031533583798,0.0406396491345,0.117032375362,0.0551584436917,0.020137677533,0.975998407413,0.993784501085
